time,open,high,low,close,LOC,EMA,EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side)
1767074400,87555,87885,87540,87810,87605,87823.02165583611,-1,-1,-1,0,0,0,0
1767078000,87800,87970,87730,87845,87690,,1,1,1,0,0,0,0
1767081600,87860,88625,87840,88195,87690,,1,1,1,0,0,0,0
1767085200,88190,88385,88000,88335,88130,,1,1,1,0,0,0,0
1767088800,88350,88625,88265,88335,88275,87993.68110389075,1,1,1,0,0,0,0
1767092400,88320,88430,88120,88295,88275,,1,1,1,0,0,0,0
1767096000,88270,88500,88260,88450,88275,,1,1,1,0,0,0,0
1767099600,88445,88580,88325,88545,88275,,1,1,1,0,0,0,0
1767103200,88500,89475,88235,89310,88275,88432.4540692605,1,1,1,0,0,0,0
1767106800,89305,89655,88625,89550,88275,,1,1,1,0,0,0,0
1767110400,89540,89960,89055,89225,88275,,1,1,1,0,0,0,0
1767114000,89205,89385,88585,88820,88275,,1,1,1,0,0,0,0
1767117600,88795,88970,88510,88715,88275,88526.63604617366,1,1,1,0,0,0,0
1767121200,88710,88855,88350,88655,88275,,1,1,1,0,0,0,0
1767124800,88615,88645,88215,88290,88275,,-1,1,0,0,0,0,0
1767128400,88300,88780,88225,88730,88275,88594.42403078244,1,1,1,0,0,0,0
1767135600,88795,88990,88705,88885,88705,,1,1,1,0,0,0,0
1767139200,88870,88905,88595,88635,88845,,1,1,1,0,0,0,0
1767142800,88625,89210,88510,89055,88795,,1,-1,0,0,0,0,0
1767146400,89020,89205,88930,89090,88990,88759.61602052163,1,1,1,0,0,0,0
1767150000,89120,89270,88750,88810,88990,,1,1,1,0,0,0,0
1767153600,88835,88945,88685,88700,88990,,1,1,1,0,0,0,0
1767157200,88710,88915,88710,88855,88990,,1,1,1,0,0,0,0
1767160800,88840,88975,88830,88860,88990,88793.07734701442,1,1,1,0,0,0,0
1767164400,88855,89015,88765,88955,88990,,1,1,1,0,0,0,0
